9004,D.A.R.Y.L. (1985),Adventure|Children|Sci-Fi
9005,Fire in the Sky (1993),Drama|Mystery|Sci-Fi
9010,Love Me If You Dare (Jeux d'enfants) (2003),Drama|Romance
9012,Ruby Gentry (1952),Drama
9018,Control Room (2004),Documentary|War
25737,"Golem, The (Golem, wie er in die Welt kam, Der) (1920)",Fantasy|Horror
25744,Haxan: Witchcraft Through the Ages (a.k.a. The Witches) (1922),Documentary|Horror
25750,Sherlock Jr. (1924),Comedy|Fantasy|Romance
25752,"Freshman, The (1925)",Comedy
25753,Greed (1924),Drama
25755,"Phantom of the Opera, The (1925)",Drama|Horror
25763,"Pandora's Box (Büchse der Pandora, Die) (1929)",Drama
25764,"Cameraman, The (1928)",Comedy|Drama|Romance
25769,"Steamboat Bill, Jr. (1928)",Comedy|Romance
25771,"Andalusian Dog, An (Chien andalou, Un) (1929)",Fantasy
25773,Little Caesar (1931),Crime|Drama
25774,"Golden Age, The (Âge d'Or, L') (1930)",Comedy|Drama|Romance
25777,Monkey Business (1931),Comedy
25788,Scarface (1932),Crime|Drama
25792,"I Was Born, But... (a.k.a. Children of Tokyo) (Otona no miru ehon - Umarete wa mita keredo) (1932)",Comedy|Drama
25795,Dinner at Eight (1933),Comedy|Drama|Romance
25801,She Done Him Wrong (1933),Comedy|Romance
25805,"Atalante, L' (1934)",Comedy|Drama|Romance
25807,"Black Cat, The (1934)",Adventure|Crime|Horror|Thriller
25825,Fury (1936),Drama|Film-Noir
25826,Libeled Lady (1936),Comedy|Romance
25827,Mr. Deeds Goes to Town (1936),Comedy|Romance
25828,"Petrified Forest, The (1936)",Crime|Drama|Romance
25839,Nothing Sacred (1937),Comedy|Drama|Romance
25841,Stage Door (1937),Drama
25842,Topper (1937),Comedy|Fantasy|Romance
25850,Holiday (1938),Comedy|Drama|Romance
25852,Gaslight (1940),Mystery|Thriller
25856,Wuthering Heights (1939),Drama|Romance
25865,"Letter, The (1940)",Drama|Film-Noir
25868,Ball of Fire (1941),Comedy|Romance
25874,Never Give a Sucker an Even Break (1941),Comedy|Musical
25882,"Hard Way, The (1943)",Drama
25886,Random Harvest (1942),Drama|Romance
25891,Heaven Can Wait (1943),Comedy|Fantasy|Romance
25898,Day of Wrath (Vredens dag) (1943),Drama
25900,"Curse of the Cat People, The (1944)",Drama
25901,"Henry V (Chronicle History of King Henry the Fift with His Battell Fought at Agincourt in France, The) (1944)",Drama|War
25904,Ministry of Fear (1944),Drama|Film-Noir|Thriller
25906,Mr. Skeffington (1944),Drama|Romance
25911,"Woman in the Window, The (1944)",Crime|Film-Noir|Thriller
25916,They Were Expendable (1945),Drama|War
25920,"Blue Dahlia, The (1946)",Crime|Drama|Film-Noir|Mystery|Thriller
25927,"Stranger, The (1946)",Drama|Film-Noir|Thriller
25929,Nightmare Alley (1947),Drama|Film-Noir
25930,Odd Man Out (1947),Crime|Drama|Film-Noir|Thriller
25937,Easter Parade (1948),Musical|Romance
25940,"Lady from Shanghai, The (1947)",Drama|Film-Noir|Mystery
25941,Letter from an Unknown Woman (1948),Drama|Romance
25945,They Live by Night (1949),Crime|Film-Noir|Romance
25947,Unfaithfully Yours (1948),Comedy
25952,"Letter to Three Wives, A (1949)",Comedy|Drama
25962,King Solomon's Mines (1950),Action|Adventure|Romance
25965,Summer Stock (1950),Comedy|Musical|Romance
25971,Carrie (1952),Drama|Romance
25972,Clash by Night (1952),Drama|Film-Noir
25993,Magnificent Obsession (1954),Drama|Romance
25995,Samurai I: Musashi Miyamoto (Miyamoto Musashi) (1954),Action|Adventure|Drama
25996,"Star Is Born, A (1954)",Drama|Musical
25999,The Wild One (1953),Drama
26003,Night and Fog (Nuit et brouillard) (1955),Crime|Documentary|War
26005,Samurai II: Duel at Ichijoji Temple (Zoku Miyamoto Musashi: Ichijôji no kettô) (1955),Action|Adventure|Drama
26007,"Unknown Soldier, The (Tuntematon sotilas) (1955)",Drama|War
26009,"Burmese Harp, The (Biruma no tategoto) (1956)",Drama|War
26010,Carousel (1956),Musical|Romance
26012,Samurai III: Duel on Ganryu Island (a.k.a. Bushido) (Miyamoto Musashi kanketsuhen: kettô Ganryûjima) (1956),Action|Adventure|Drama
26013,Rodan (Sora no daikaijû Radon) (1956),Adventure
26025,"Spirit of St. Louis, The (1957)",Adventure|Drama
26052,Pickpocket (1959),Crime|Drama
26079,David and Lisa (1962),Drama
26082,Harakiri (Seppuku) (1962),Drama
26084,"Music Man, The (1962)",Children|Comedy|Musical|Romance
26085,Mutiny on the Bounty (1962),Adventure|Drama|Romance
26086,"Occurrence at Owl Creek Bridge, An (La rivière du hibou) (1962)",Drama|War
26093,"Wonderful World of the Brothers Grimm, The (1962)",Adventure|Animation|Children|Comedy|Drama|Fantasy|Musical|Romance
26094,"Eclisse, L' (Eclipse) (1962)",Drama
26111,Becket (1964),Drama
26116,"Hush... Hush, Sweet Charlotte (1964)",Horror|Thriller
26117,"Killers, The (1964)",Action|Crime|Drama|Film-Noir|Thriller
26122,Onibaba (1964),Drama|Horror|War
26125,"Spider Baby or, The Maddest Story Ever Told (Spider Baby) (1968)",Comedy|Horror
26131,"Battle of Algiers, The (La battaglia di Algeri) (1966)",Drama|War
26133,"Charlie Brown Christmas, A (1965)",Animation|Children|Comedy
26147,"Thousand Clowns, A (1965)",Comedy|Drama|Romance
26150,Andrei Rublev (Andrey Rublyov) (1969),Drama|War
26151,Au Hasard Balthazar (1966),Crime|Drama
26152,Batman (1966),Action|Adventure|Comedy
26157,Manos: The Hands of Fate (1966),Horror
26160,Asterix and the Gauls (Astérix le Gaulois) (1967),Action|Adventure|Animation|Children|Comedy
26163,Don't Look Back (1967),Documentary|Musical
26164,Fando and Lis (Fando y Lis) (1968),Adventure|Fantasy
26171,Play Time (a.k.a. Playtime) (1967),Comedy
26172,Point Blank (1967),Action|Crime|Drama|Thriller
26176,Titicut Follies (1967),Documentary|Drama
26178,Two for the Road (1967),Comedy|Drama|Romance
26180,Up the Down Staircase (1967),Drama
26188,"Heart Is a Lonely Hunter, The (1968)",Drama
26198,"Yours, Mine and Ours (1968)",Children|Comedy
26199,Alice's Restaurant (1969),Comedy|Drama
26208,My Night At Maud's (Ma Nuit Chez Maud) (1969),Comedy|Drama|Romance
26228,"Swedish Love Story, A (Kärlekshistoria, En) (1970)",Drama|Romance
26229,"Landlord, The (1970)",Comedy|Drama
26231,Performance (1970),Crime|Drama|Thriller
26241,The Devils (1971),Drama
26242,Duel (1971),Action|Mystery|Thriller
26251,Mon Oncle Antoine (1971),Drama
26258,"Topo, El (1970)",Fantasy|Western
26265,Dr. Phibes Rises Again (1972),Adventure|Comedy|Horror|Romance
26268,The Tall Blond Man with One Black Shoe (1972),Comedy|Mystery
26271,Lady Sings the Blues (1972),Drama|Musical
26294,My Name Is Nobody (Il Mio nome è Nessuno) (1973),Comedy|Western
26302,Scarecrow (1973),Drama
26303,Sisters (1973),Horror|Thriller
26313,California Split (1974),Comedy|Drama
26317,Emmanuelle (1974),Drama|Romance
26318,"Phantom of Liberty, The (Fantôme de la liberté, Le) (1974)",Comedy|Drama
26320,Flesh for Frankenstein (a.k.a. Andy Warhol's Frankenstein) (1973),Drama|Horror|Sci-Fi
26322,Gone in 60 Seconds (1974),Action|Crime|Drama
26323,"Groove Tube, The (1974)",Comedy
26324,Harry and Tonto (1974),Comedy|Drama
26325,Hearts and Minds (1974),Documentary|War
26326,"Holy Mountain, The (Montaña sagrada, La) (1973)",Drama
26338,Cousin cousine (1975),Comedy|Romance
26342,"Farewell, My Lovely (1975)",Crime|Mystery|Thriller
26346,"Story of Adele H., The (Histoire d'Adèle H., L') (1975)",Drama
26349,Night Moves (1975),Crime|Thriller
26350,"Passenger, The (Professione: reporter) (1975)",Drama
26366,Harlan County U.S.A. (1976),Documentary
26371,The Missouri Breaks (1976),Drama|Western
26375,Silver Streak (1976),Action|Comedy|Crime
26386,High Anxiety (1977),Comedy|Thriller
26391,"New York, New York (1977)",Drama|Musical|Romance
26393,Sorcerer (1977),Action|Thriller
26394,"Turning Point, The (1977)",Drama|Romance
26400,Gates of Heaven (1978),Documentary
26403,"Hobbit, The (1977)",Animation|Children|Fantasy
26404,In Praise of Older Women (1978),Drama
26409,"Clonus Horror, The (1979)",Horror|Sci-Fi
26413,Snake in the Eagle's Shadow (Se ying diu sau) (1978),Action|Comedy
26414,"Wedding, A (1978)",Comedy|Drama
26422,Hair (1979),Comedy|Drama|Musical
26425,"In-Laws, The (1979)",Action|Comedy
26430,"Luna, La (1979)",Drama
26435,Starting Over (1979),Comedy|Romance
26462,Bad Boys (1983),Crime|Drama|Thriller
26464,Blue Thunder (1983),Action|Crime|Drama
26467,"Day After, The (1983)",Drama|Sci-Fi
26471,Eddie Murphy Delirious (1983),Comedy|Documentary
26472,"Norte, El (1984)",Adventure|Drama
26480,"Raiders of Atlantis, The (1983)",Action|Mystery|Sci-Fi
26485,Rumble Fish (1983),Drama
26487,Star 80 (1983),Drama
26492,Twilight Zone: The Movie (1983),Fantasy|Horror|Sci-Fi|Thriller
26494,Suburbia (1984),Drama
26501,Choose Me (1984),Comedy|Romance
26505,Comfort and Joy (1984),Comedy
26509,Electric Dreams (1984),Comedy|Drama|Romance|Sci-Fi
26513,"Ice Pirates, The (1984)",Action|Adventure|Comedy|Sci-Fi
26524,"Times of Harvey Milk, The (1984)",Documentary
26528,Anne of Green Gables (1985),Children|Drama
26547,Police Story (Ging chaat goo si) (1985),Action|Comedy|Crime|Thriller
26554,"Quiet Earth, The (1985)",Drama|Mystery|Sci-Fi
26555,Spies Like Us (1985),Comedy
26562,White Nights (1985),Drama
26564,'Round Midnight (1986),Drama|Musical
26574,Ginger and Fred (Ginger e Fred) (1986),Comedy|Drama
26578,"Sacrifice, The (Offret - Sacraficatio) (1986)",Drama
26581,Sherman's March (1985),Documentary
26585,"Better Tomorrow, A (Ying hung boon sik) (1986)",Crime|Drama|Thriller
26587,"Decalogue, The (Dekalog) (1989)",Crime|Drama|Romance
26599,"Law of Desire (Ley del deseo, La) (1987)",Comedy|Drama|Romance
26603,Prince of Darkness (1987),Fantasy|Horror|Sci-Fi|Thriller
26606,"Chinese Ghost Story, A (Sinnui yauwan) (1987)",Action|Fantasy|Horror|Romance
26614,"Bourne Identity, The (1988)",Action|Adventure|Drama|Mystery|Thriller
26622,Dominick and Eugene (1988),Drama
26631,Alice (Neco z Alenky) (1988),Animation|Fantasy|Mystery
26649,Lonesome Dove (1989),Adventure|Drama|Western
26655,Common Threads: Stories from the Quilt (1989),Documentary
26662,Kiki's Delivery Service (Majo no takkyûbin) (1989),Adventure|Animation|Children|Drama|Fantasy
26663,Monsieur Hire (1989),Crime|Romance|Thriller
26680,Cry-Baby (1990),Comedy|Musical|Romance
26684,Frankenhooker (1990),Comedy|Horror
26686,Ghost Dad (1990),Comedy|Fantasy
26689,Havana (1990),Drama
26693,It (1990),Drama|Fantasy|Horror|Mystery|Thriller
26694,Ju Dou (1990),Drama
26695,"Krays, The (1990)",Drama
26700,Nuns on the Run (1990),Comedy|Crime
26701,Patlabor: The Movie (Kidô keisatsu patorebâ: The Movie) (1989),Action|Animation|Crime|Drama|Film-Noir|Mystery|Sci-Fi|Thriller
26702,"Reflecting Skin, The (1990)",Drama|Horror|Thriller
26704,State of Grace (1990),Crime|Drama|Thriller
26712,35 Up (1991),Documentary
26726,Dutch (1991),Comedy
26729,Hearts of Darkness: A Filmmakers Apocalypse (1991),Documentary
26731,Homicide (1991),Crime|Drama|Thriller
26732,Johnny Stecchino (1991),Comedy
26736,Riki-Oh: The Story of Ricky (Lik Wong) (1991),Action|Crime|Thriller
26737,Light Sleeper (1992),Crime|Drama
26749,Prospero's Books (1991),Drama|Fantasy
26750,Quigley Down Under (1990),Adventure|Drama|Western
26775,Johnny Suede (1991),Comedy|Musical|Romance
